stn    time           rre150d0
AMW    19010923            0.0
AMW    19010924            1.1
AMW    19010925           13.8
AMW    19010926           11.6
AMW    19010927            0.0
AMW    19010928            0.0
AMW    19010929            0.0
AMW    19010930            0.0
AMW    19011001            0.0
AMW    19011002            0.0
AMW    19011003            0.0
AMW    19011004            0.0
AMW    19011005            0.0
AMW    19011006           13.9
AMW    19011007            1.1
AMW    19011008            3.4
AMW    19011009           24.5
AMW    19011010            2.3
AMW    19011011            0.0
AMW    19011012            0.0
AMW    19011013            0.0
AMW    19011014            0.0
AMW    19011015            0.0
AMW    19011016            0.0
AMW    19011017            0.0
AMW    19011018            0.0
AMW    19011019            0.0
AMW    19011020            0.0
AMW    19011021            0.0
AMW    19011022            7.7
AMW    19011023            0.0
AMW    19011024            0.0
AMW    19011025            0.0
AMW    19011026            0.0
AMW    19011027            0.0
AMW    19011028            0.0
AMW    19011029            0.0
AMW    19011030            0.0
AMW    19011031            0.0
AMW    19011101            0.0
AMW    19011102            0.0
AMW    19011103            0.0
AMW    19011104            0.0
AMW    19011105            0.0
AMW    19011106            0.0
AMW    19011107            0.0
AMW    19011108            0.0
AMW    19011109            0.0
AMW    19011110            0.0
AMW    19011111            0.0
AMW    19011112            0.0
AMW    19011113            2.8
AMW    19011114            1.0
AMW    19011115            7.0
AMW    19011116           10.0
AMW    19011117            0.0
AMW    19011118            0.0
AMW    19011119            2.1
AMW    19011120            0.0
AMW    19011121            0.0
AMW    19011122            3.0
AMW    19011123            3.2
AMW    19011124            0.0
AMW    19011125            0.0
AMW    19011126            0.0
AMW    19011127            0.0
AMW    19011128            1.3
AMW    19011129            1.5
AMW    19011130            0.0
AMW    19011201            0.0
AMW    19011202            0.0
AMW    19011203            3.5
AMW    19011204            0.0
AMW    19011205            0.0
AMW    19011206            0.0
AMW    19011207            0.0
AMW    19011208            5.3
AMW    19011209           13.4
AMW    19011210            6.5
AMW    19011211            2.1
AMW    19011212            0.0
AMW    19011213            6.0
AMW    19011214            0.4
AMW    19011215            1.0
AMW    19011216            0.0
AMW    19011217            0.0
AMW    19011218            0.0
AMW    19011219            0.0
AMW    19011220            0.0
AMW    19011221            0.0
AMW    19011222            0.0
AMW    19011223            1.8
AMW    19011224            0.0
AMW    19011225            1.2
AMW    19011226            0.0
AMW    19011227            0.0
AMW    19011228            0.0
AMW    19011229            5.0
AMW    19011230            0.0
AMW    19011231            0.0
AMW    19020101            0.0
AMW    19020102            8.8
AMW    19020103            0.0
AMW    19020104            0.0
AMW    19020105            1.9
AMW    19020106            0.0
AMW    19020107            0.0
AMW    19020108            0.0
AMW    19020109            0.0
AMW    19020110            0.0
AMW    19020111            0.0
AMW    19020112            0.0
AMW    19020113            0.0
AMW    19020114            0.4
AMW    19020115            2.4
AMW    19020116            0.0
AMW    19020117            0.0
AMW    19020118            0.0
AMW    19020119            0.0
AMW    19020120            0.0
AMW    19020121            0.0
AMW    19020122            0.0
AMW    19020123            0.0
AMW    19020124            0.0
AMW    19020125            4.1
AMW    19020126            0.3
AMW    19020127            6.9
AMW    19020128            7.4
AMW    19020129            4.0
AMW    19020130            0.2
AMW    19020131            0.0
AMW    19020201            0.0
AMW    19020202            0.0
AMW    19020203            0.0
AMW    19020204            7.5
AMW    19020205            0.0
AMW    19020206            1.3
AMW    19020207            7.1
AMW    19020208            1.6
AMW    19020209           10.8
AMW    19020210            1.5
AMW    19020211            0.2
AMW    19020212            0.5
AMW    19020213            3.8
AMW    19020214            6.7
AMW    19020215            6.3
AMW    19020216            0.0
AMW    19020217            4.1
AMW    19020218            1.3
AMW    19020219            0.0
AMW    19020220            0.0
AMW    19020221            0.0
AMW    19020222            0.0
AMW    19020223            0.0
AMW    19020224            0.0
AMW    19020225            0.0
AMW    19020226            0.0
AMW    19020227            0.6
AMW    19020228            0.0
AMW    19020301            5.0
AMW    19020302            0.0
AMW    19020303            0.0
AMW    19020304            0.0
AMW    19020305            0.0
AMW    19020306            0.0
AMW    19020307            0.0
AMW    19020308            4.0
AMW    19020309            3.0
AMW    19020310            0.0
AMW    19020311            0.0
AMW    19020312            0.0
AMW    19020313            0.0
AMW    19020314            0.0
AMW    19020315           10.2
AMW    19020316            5.2
AMW    19020317            0.3
AMW    19020318            0.0
AMW    19020319            0.0
AMW    19020320            0.0
AMW    19020321            0.0
AMW    19020322            5.8
AMW    19020323            2.9
AMW    19020324            0.0
AMW    19020325            7.1
AMW    19020326            3.0
AMW    19020327            3.6
AMW    19020328            7.0
AMW    19020329            6.6
AMW    19020330            0.0
AMW    19020331            0.0
AMW    19020401            0.0
AMW    19020402            3.1
AMW    19020403            7.2
AMW    19020404            0.0
AMW    19020405            0.0
AMW    19020406            0.0
AMW    19020407            0.0
AMW    19020408            0.0
AMW    19020409            0.0
AMW    19020410            0.0
AMW    19020411            0.0
AMW    19020412            0.0
AMW    19020413            0.0
AMW    19020414            0.0
AMW    19020415            0.0
AMW    19020416            0.0
AMW    19020417            3.9
AMW    19020418            0.0
AMW    19020419            0.0
AMW    19020420            8.0
AMW    19020421            0.3
AMW    19020422            0.0
AMW    19020423            1.7
AMW    19020424            0.0
AMW    19020425            0.0
AMW    19020426            6.7
AMW    19020427            0.0
AMW    19020428            0.0
AMW    19020429            0.0
AMW    19020430            0.0
AMW    19020501            4.6
AMW    19020502            0.3
AMW    19020503            5.0
AMW    19020504            3.4
AMW    19020505            2.6
AMW    19020506            5.0
AMW    19020507            4.0
AMW    19020508           10.8
AMW    19020509            9.3
AMW    19020510            0.2
AMW    19020511            3.0
AMW    19020512            0.0
AMW    19020513           10.2
AMW    19020514            6.1
AMW    19020515            0.8
AMW    19020516            3.9
AMW    19020517           39.4
AMW    19020518            4.4
AMW    19020519            3.4
AMW    19020520            0.2
AMW    19020521            0.9
AMW    19020522           10.0
AMW    19020523            0.0
AMW    19020524            2.4
AMW    19020525            0.5
AMW    19020526            1.6
AMW    19020527            0.0
AMW    19020528            0.0
AMW    19020529            0.0
AMW    19020530            0.0
AMW    19020531            0.0
AMW    19020601            0.0
AMW    19020602            0.0
AMW    19020603            0.0
AMW    19020604           11.4
AMW    19020605            0.5
AMW    19020606            0.0
AMW    19020607            2.5
AMW    19020608            0.4
AMW    19020609            5.2
AMW    19020610            0.0
AMW    19020611            0.0
AMW    19020612            5.6
AMW    19020613           20.3
AMW    19020614            0.7
AMW    19020615            2.6
AMW    19020616            6.1
AMW    19020617            2.4
AMW    19020618           14.6
AMW    19020619            0.0
AMW    19020620            4.3
AMW    19020621            5.8
AMW    19020622            3.9
AMW    19020623            0.4
AMW    19020624            1.5
AMW    19020625            0.0
AMW    19020626            0.0
AMW    19020627            0.0
AMW    19020628            0.0
AMW    19020629            0.0
AMW    19020630            0.0
AMW    19020701           12.3
AMW    19020702           21.2
AMW    19020703            0.0
AMW    19020704            0.0
AMW    19020705            0.0
AMW    19020706            0.0
AMW    19020707            0.0
AMW    19020708            0.0
AMW    19020709            2.6
AMW    19020710           17.4
AMW    19020711            1.3
AMW    19020712            0.0
AMW    19020713            0.0
AMW    19020714            0.0
AMW    19020715            3.4
AMW    19020716            0.0
AMW    19020717            2.5
AMW    19020718            9.1
AMW    19020719            0.9
AMW    19020720            5.5
AMW    19020721            8.0
AMW    19020722            0.0
AMW    19020723            0.0
AMW    19020724            7.4
AMW    19020725            0.0
AMW    19020726            0.0
AMW    19020727            8.1
AMW    19020728            0.0
AMW    19020729            0.0
AMW    19020730            0.0
AMW    19020731           12.9
AMW    19020801            8.7
AMW    19020802           19.0
AMW    19020803            0.2
AMW    19020804            0.0
AMW    19020805            1.2
AMW    19020806            0.0
AMW    19020807            1.8
AMW    19020808            9.0
AMW    19020809            0.0
AMW    19020810            0.0
AMW    19020811            7.0
AMW    19020812            4.0
AMW    19020813            2.8
AMW    19020814           11.5
AMW    19020815            0.0
AMW    19020816            1.7
AMW    19020817           19.8
AMW    19020818            0.0
AMW    19020819           10.8
AMW    19020820           18.0
AMW    19020821            0.8
AMW    19020822            0.0
AMW    19020823            0.0
AMW    19020824            0.0
AMW    19020825            3.3
AMW    19020826            0.0
AMW    19020827            0.0
AMW    19020828            0.0
AMW    19020829            0.0
AMW    19020830            0.0
AMW    19020831            1.3
AMW    19020901            5.8
AMW    19020902            0.0
AMW    19020903            0.0
AMW    19020904            0.0
AMW    19020905           36.0
AMW    19020906           22.1
AMW    19020907            0.0
AMW    19020908            0.0
AMW    19020909            0.0
AMW    19020910            4.8
AMW    19020911            7.3
AMW    19020912            6.7
AMW    19020913           14.4
AMW    19020914            0.0
AMW    19020915            0.0
AMW    19020916            0.0
AMW    19020917            0.0
AMW    19020918            0.0
AMW    19020919            0.0
AMW    19020920            0.0
AMW    19020921            0.0
AMW    19020922            0.0
AMW    19020923            0.0
AMW    19020924            3.1
AMW    19020925            0.0
AMW    19020926            0.0
AMW    19020927            0.0
AMW    19020928            9.3
AMW    19020929            0.0
AMW    19020930            0.0
AMW    19021001            0.0
AMW    19021002            9.7
AMW    19021003            0.0
AMW    19021004            1.2
AMW    19021005            1.5
AMW    19021006            3.5
AMW    19021007            0.0
AMW    19021008            0.6
AMW    19021009            0.0
AMW    19021010            1.1
AMW    19021011           32.2
AMW    19021012           10.4
AMW    19021013            0.0
AMW    19021014           10.5
AMW    19021015            0.0
AMW    19021016            4.1
AMW    19021017            0.7
AMW    19021018            2.3
AMW    19021019            0.8
AMW    19021020            0.7
AMW    19021021            5.7
AMW    19021022            2.0
AMW    19021023            1.7
AMW    19021024            0.0
AMW    19021025            0.0
AMW    19021026            0.0
AMW    19021027            2.3
AMW    19021028            3.2
AMW    19021029            0.0
AMW    19021030            0.0
AMW    19021031            0.0
AMW    19021101            0.0
AMW    19021102            0.0
AMW    19021103            0.0
AMW    19021104            0.0
AMW    19021105            0.0
AMW    19021106            0.0
AMW    19021107            0.0
AMW    19021108            0.0
AMW    19021109            2.7
AMW    19021110            0.0
AMW    19021111            0.0
AMW    19021112            0.0
AMW    19021113            0.0
AMW    19021114            0.0
AMW    19021115            0.0
AMW    19021116            0.0
AMW    19021117            0.0
AMW    19021118            0.0
AMW    19021119            0.0
